Easting,Northing,Lat,Long,Severity_of_casualty,Casualty_Class,Sex,Age,Date,Day,Hour,Local_authority,Vehicle_type,Pedestrian_Locality
547720,186900,51.56164026,0.12969622,Serious,Driver_or_rider,Male,62,24/10/2014,Friday,18,Barking_and_Dagenham,M/cycle_over_50_and_up_to_125cc_(from_1999),Not_a_pedestrian
549040,185020,51.54440162,0.147929415,Serious,Pedestrian,Male,63,20/10/2014,Monday,12,Barking_and_Dagenham,Van/Goods_3.5_tonnes_mgw_or_under,"In_carriageway,_crossing_elsewhere"
545040,184890,51.54427471,0.090233471,Serious,Driver_or_rider,Male,25,08/09/2014,Monday,1,Barking_and_Dagenham,Car,Not_a_pedestrian
547780,185800,51.55174085,0.130099512,Serious,Driver_or_rider,Male,22,25/06/2014,Wednesday,17,Barking_and_Dagenham,Pedal_cycle,Not_a_pedestrian
548180,186870,51.56125031,0.136314854,Serious,Pedestrian,Male,35,16/11/2014,Sunday,7,Barking_and_Dagenham,Car,"In_carriageway,_crossing_elsewhere"
548810,183540,51.53116397,0.143990348,Serious,Passenger,Male,45,25/11/2014,Tuesday,22,Barking_and_Dagenham,Car,Not_a_pedestrian
548790,187440,51.56621161,0.145349306,Serious,Pedestrian,Male,60,15/12/2014,Monday,6,Barking_and_Dagenham,Car,"In_carriageway,_crossing_elsewhere"
545120,184950,51.54479328,0.091411028,Serious,Pedestrian,Female,61,24/11/2014,Monday,14,Barking_and_Dagenham,Car,"In_carriageway,_crossing_elsewhere"
530240,173110,51.44201757,-0.127409584,Serious,Pedestrian,Female,28,29/01/2014,Wednesday,7,Lambeth,Car,"In_carriageway,_crossing_elsewhere"
530290,170530,51.41881996,-0.127638416,Serious,Driver_or_rider,Male,44,29/01/2014,Wednesday,7,Lambeth,Motorcycle_over_500cc,Not_a_pedestrian
533050,171560,51.42743536,-0.087583624,Serious,Driver_or_rider,Male,66,20/01/2014,Monday,16,Lambeth,Motorcycle_50cc_and_under,Not_a_pedestrian
532690,172880,51.43938228,-0.092264677,Serious,Driver_or_rider,Male,43,06/02/2014,Thursday,4,Southwark,Car,Not_a_pedestrian
530420,177030,51.47720469,-0.123377243,Serious,Driver_or_rider,Male,33,13/02/2014,Thursday,17,Lambeth,M/cycle_over_50_and_up_to_125cc_(from_1999),Not_a_pedestrian
530440,173100,51.4418817,-0.12453722,Serious,Driver_or_rider,Male,13,13/02/2014,Thursday,17,Lambeth,Pedal_cycle,Not_a_pedestrian
531200,176290,51.47037433,-0.112426287,Serious,Driver_or_rider,Female,27,25/02/2014,Tuesday,20,Lambeth,Pedal_cycle,Not_a_pedestrian
530840,174630,51.45553946,-0.11821998,Serious,Pedestrian,Female,9,07/03/2014,Friday,17,Lambeth,Car,"In_carriageway,_crossing_elsewhere"
530590,178040,51.48624214,-0.120557817,Serious,Driver_or_rider,Male,53,09/03/2014,Sunday,12,Lambeth,Pedal_cycle,Not_a_pedestrian
531030,175420,51.46259517,-0.11519453,Serious,Driver_or_rider,Male,44,15/03/2014,Saturday,0,Lambeth,Pedal_cycle,Not_a_pedestrian
529620,175390,51.46264995,-0.135491017,Serious,Driver_or_rider,Male,51,21/03/2014,Friday,16,Lambeth,M/cycle_over_50_and_up_to_125cc_(from_1999),Not_a_pedestrian
531700,176320,51.47052787,-0.105220586,Serious,Driver_or_rider,Male,32,19/03/2014,Wednesday,8,Lambeth,Pedal_cycle,Not_a_pedestrian
529590,175380,51.46256694,-0.135926286,Serious,Driver_or_rider,Male,44,15/03/2014,Saturday,22,Lambeth,Pedal_cycle,Not_a_pedestrian
530470,176730,51.47449714,-0.122768276,Serious,Driver_or_rider,Male,33,30/03/2014,Sunday,23,Lambeth,Motorcycle_over_500cc,Not_a_pedestrian
530410,177210,51.47882461,-0.123454817,Serious,Pedestrian,Male,unknown,01/04/2014,Tuesday,18,Lambeth,Car,"In_carriageway,_crossing_elsewhere"
529950,175630,51.4647312,-0.130655237,Serious,Driver_or_rider,Male,30,07/04/2014,Monday,10,Lambeth,M/cycle_over_50_and_up_to_125cc_(from_1999),Not_a_pedestrian
530020,175720,51.46552395,-0.129615054,Serious,Driver_or_rider,Male,47,08/04/2014,Tuesday,7,Lambeth,Pedal_cycle,Not_a_pedestrian
530020,175720,51.46552395,-0.129615054,Serious,Driver_or_rider,Male,30,08/04/2014,Tuesday,7,Lambeth,Pedal_cycle,Not_a_pedestrian
531020,177320,51.47967234,-0.114634995,Serious,Driver_or_rider,Male,29,22/03/2014,Saturday,18,Lambeth,Car,Not_a_pedestrian
531180,177110,51.47774809,-0.112410105,Serious,Driver_or_rider,Male,48,21/03/2014,Friday,7,Lambeth,Motorcycle_over_500cc,Not_a_pedestrian
531740,175250,51.46090269,-0.105043357,Serious,Pedestrian,Male,50,15/04/2014,Tuesday,18,Lambeth,Car,"In_carriageway,_crossing_elsewhere"
530640,171350,51.42610863,-0.122305993,Serious,Driver_or_rider,Male,20,13/04/2014,Sunday,4,Lambeth,Car,Not_a_pedestrian
530790,179450,51.49886734,-0.117156826,Serious,Driver_or_rider,Male,32,25/04/2014,Friday,18,Lambeth,Pedal_cycle,Not_a_pedestrian
